owner_occupancy_key,owner_occupancy_name
176,Owner-occupied as a principal dwelling
177,Owner-occupied as a principal dwelling
178,Owner-occupied as a principal dwelling
179,Owner-occupied as a principal dwelling
180,Not owner-occupied as a principal dwelling
181,Owner-occupied as a principal dwelling
182,Owner-occupied as a principal dwelling
183,Owner-occupied as a principal dwelling
184,Owner-occupied as a principal dwelling
185,Owner-occupied as a principal dwelling
186,Owner-occupied as a principal dwelling
187,Owner-occupied as a principal dwelling
188,Owner-occupied as a principal dwelling
189,Owner-occupied as a principal dwelling
190,Owner-occupied as a principal dwelling
191,Owner-occupied as a principal dwelling
192,Not owner-occupied as a principal dwelling
193,Owner-occupied as a principal dwelling
194,Owner-occupied as a principal dwelling
195,Owner-occupied as a principal dwelling
196,Owner-occupied as a principal dwelling
197,Not owner-occupied as a principal dwelling
198,Owner-occupied as a principal dwelling
199,Owner-occupied as a principal dwelling
200,Owner-occupied as a principal dwelling
201,Owner-occupied as a principal dwelling
202,Owner-occupied as a principal dwelling
203,Owner-occupied as a principal dwelling
204,Owner-occupied as a principal dwelling
205,Owner-occupied as a principal dwelling
206,Owner-occupied as a principal dwelling
207,Not owner-occupied as a principal dwelling
208,Owner-occupied as a principal dwelling
209,Owner-occupied as a principal dwelling
210,Owner-occupied as a principal dwelling
211,Owner-occupied as a principal dwelling
212,Owner-occupied as a principal dwelling
213,Owner-occupied as a principal dwelling
214,Owner-occupied as a principal dwelling
215,Owner-occupied as a principal dwelling
216,Owner-occupied as a principal dwelling
217,Owner-occupied as a principal dwelling
218,Owner-occupied as a principal dwelling
219,Owner-occupied as a principal dwelling
220,Owner-occupied as a principal dwelling
221,Owner-occupied as a principal dwelling
222,Owner-occupied as a principal dwelling
223,Owner-occupied as a principal dwelling
224,Owner-occupied as a principal dwelling
225,Owner-occupied as a principal dwelling
226,Owner-occupied as a principal dwelling
227,Not owner-occupied as a principal dwelling
228,Owner-occupied as a principal dwelling
229,Owner-occupied as a principal dwelling
230,Owner-occupied as a principal dwelling
231,Owner-occupied as a principal dwelling
232,Owner-occupied as a principal dwelling
233,Owner-occupied as a principal dwelling
234,Owner-occupied as a principal dwelling
235,Owner-occupied as a principal dwelling
236,Owner-occupied as a principal dwelling
237,Owner-occupied as a principal dwelling
238,Owner-occupied as a principal dwelling
239,Owner-occupied as a principal dwelling
240,Not owner-occupied as a principal dwelling
241,Owner-occupied as a principal dwelling
242,Owner-occupied as a principal dwelling
243,Owner-occupied as a principal dwelling
244,Owner-occupied as a principal dwelling
245,Not owner-occupied as a principal dwelling
246,Owner-occupied as a principal dwelling
247,Owner-occupied as a principal dwelling
248,Not owner-occupied as a principal dwelling
249,Owner-occupied as a principal dwelling
250,Owner-occupied as a principal dwelling
251,Owner-occupied as a principal dwelling
252,Owner-occupied as a principal dwelling
253,Not owner-occupied as a principal dwelling
254,Owner-occupied as a principal dwelling
255,Owner-occupied as a principal dwelling
256,Owner-occupied as a principal dwelling
257,Owner-occupied as a principal dwelling
258,Owner-occupied as a principal dwelling
259,Owner-occupied as a principal dwelling
260,Owner-occupied as a principal dwelling
261,Owner-occupied as a principal dwelling
262,Owner-occupied as a principal dwelling
263,Owner-occupied as a principal dwelling
264,Owner-occupied as a principal dwelling
265,Owner-occupied as a principal dwelling
266,Owner-occupied as a principal dwelling
267,Owner-occupied as a principal dwelling
268,Owner-occupied as a principal dwelling
269,Owner-occupied as a principal dwelling
270,Owner-occupied as a principal dwelling
271,Owner-occupied as a principal dwelling
272,Owner-occupied as a principal dwelling
273,Owner-occupied as a principal dwelling
274,Owner-occupied as a principal dwelling
275,Owner-occupied as a principal dwelling
276,Owner-occupied as a principal dwelling
277,Owner-occupied as a principal dwelling
278,Owner-occupied as a principal dwelling
279,Owner-occupied as a principal dwelling
280,Owner-occupied as a principal dwelling
281,Not owner-occupied as a principal dwelling
282,Owner-occupied as a principal dwelling
283,Owner-occupied as a principal dwelling
284,Owner-occupied as a principal dwelling
285,Owner-occupied as a principal dwelling
286,Owner-occupied as a principal dwelling
287,Owner-occupied as a principal dwelling
288,Owner-occupied as a principal dwelling
289,Owner-occupied as a principal dwelling
290,Not owner-occupied as a principal dwelling
291,Owner-occupied as a principal dwelling
292,Owner-occupied as a principal dwelling
293,Not owner-occupied as a principal dwelling
294,Owner-occupied as a principal dwelling
295,Owner-occupied as a principal dwelling
296,Owner-occupied as a principal dwelling
297,Owner-occupied as a principal dwelling
298,Owner-occupied as a principal dwelling
299,Owner-occupied as a principal dwelling
300,Owner-occupied as a principal dwelling
301,Not owner-occupied as a principal dwelling
302,Owner-occupied as a principal dwelling
303,Owner-occupied as a principal dwelling
304,Owner-occupied as a principal dwelling
305,Owner-occupied as a principal dwelling
306,Owner-occupied as a principal dwelling
307,Owner-occupied as a principal dwelling
308,Owner-occupied as a principal dwelling
309,Owner-occupied as a principal dwelling
310,Owner-occupied as a principal dwelling
311,Owner-occupied as a principal dwelling
312,Not owner-occupied as a principal dwelling
